model,baseline_model,metric,paired_seed_count,mean_delta,std_delta,se_delta,ci95_low,ci95_high
connectome_temporal_difference,random_sparse_temporal_difference,early_mean,5,-0.000443911708875977,0.0005897938090195609,0.00026376380993525333,-0.0009608887763490735,7.306535859711953e-05
connectome_temporal_difference,random_sparse_temporal_difference,curve_auc,5,-0.029962565783678487,0.030399946711546024,0.013595269471877619,-0.05660929394855862,-0.003315837618798355
connectome_temporal_difference,random_sparse_temporal_difference,curve_mean,5,-0.0007524435686665054,0.000765189325100745,0.0003422030693164904,-0.0014231615845268265,-8.172555280618423e-05
connectome_temporal_difference,random_sparse_temporal_difference,final_mean,5,-0.0001785951187756707,0.00023019203440058353,0.00010294500735973496,-0.0003803673332007512,2.317709564940982e-05
connectome_temporal_difference,degree_preserving_temporal_difference,early_mean,5,-0.0008541197035560443,0.0005506406797587187,0.0002462539982234375,-0.0013367775400739818,-0.00037146186703810685
connectome_temporal_difference,degree_preserving_temporal_difference,curve_auc,5,0.008813171130932319,0.04514073194104111,0.02018754903485279,-0.03075442497737915,0.04838076723924378
connectome_temporal_difference,degree_preserving_temporal_difference,curve_mean,5,0.00021300062952527287,0.00112726932205087,0.0005041301666111696,-0.0007750944970326195,0.0012010957560831654
connectome_temporal_difference,degree_preserving_temporal_difference,final_mean,5,0.00010965066828498849,0.00033003535594260873,0.00014759629817320247,-0.00017963807613448834,0.0003989394127044653
connectome_temporal_difference,weight_shuffle_temporal_difference,early_mean,5,-0.00020689124098735023,0.0007027319158236407,0.00031427126674806415,-0.000822862923813556,0.00040908044183885547
connectome_temporal_difference,weight_shuffle_temporal_difference,curve_auc,5,-0.011532641065863913,0.019311499278482937,0.008636365026825198,-0.0284599165184413,0.005394634386713474
connectome_temporal_difference,weight_shuffle_temporal_difference,curve_mean,5,-0.00028879249986861754,0.0004948974303938878,0.00022132485925014075,-0.0007225892239988934,0.0001450042242616583
connectome_temporal_difference,weight_shuffle_temporal_difference,final_mean,5,-6.137425754437764e-05,7.70858134249669e-05,3.447382378381837e-05,-0.00012894295216066162,6.194437071906352e-06
