model,baseline_model,comparison_type,metric,paired_seed_count,mean_delta,std_delta,se_delta,ci95_low,ci95_high
connectome_kalman_filter,random_sparse_kalman_filter,matched_topology_control,test_ccnlab_score,5,-0.005360395211119551,0.004588588437746803,0.0020520791335142826,-0.009382470312807544,-0.0013383201094315572
connectome_kalman_filter,degree_preserving_kalman_filter,matched_topology_control,test_ccnlab_score,5,-0.00420433838423051,0.013213769393731424,0.005909377320677929,-0.01578671793275925,0.00737804116429823
connectome_kalman_filter,weight_shuffle_kalman_filter,matched_topology_control,test_ccnlab_score,5,-0.001139718405994339,0.0045472027909305365,0.0020335709095994888,-0.005125517388809337,0.0028460805768206593
connectome_rescorla_wagner,random_sparse_rescorla_wagner,matched_topology_control,test_ccnlab_score,5,-0.005214812254776912,0.005613618041766403,0.002510486308221786,-0.010135365418891613,-0.00029425909066221195
connectome_rescorla_wagner,degree_preserving_rescorla_wagner,matched_topology_control,test_ccnlab_score,5,-0.001543532817870008,0.007930632720137703,0.0035466867733623935,-0.008495038893660298,0.005407973257920283
connectome_rescorla_wagner,weight_shuffle_rescorla_wagner,matched_topology_control,test_ccnlab_score,5,-0.0010681213854798921,0.005046315382480917,0.002256780846226036,-0.005491411844082923,0.0033551690731231393
connectome_temporal_difference,random_sparse_temporal_difference,matched_topology_control,test_ccnlab_score,5,-0.005067901708245626,0.004663136282220477,0.002085417943078126,-0.009155320876678752,-0.000980482539812499
connectome_temporal_difference,degree_preserving_temporal_difference,matched_topology_control,test_ccnlab_score,5,0.003272914539215832,0.009782270922240254,0.004374764551289753,-0.005301623981312084,0.011847453059743747
connectome_temporal_difference,weight_shuffle_temporal_difference,matched_topology_control,test_ccnlab_score,5,-0.0008252502670594408,0.010194581003224054,0.0045591552250673975,-0.009761194508191538,0.008110693974072658
connectome_kalman_filter,random_sparse_kalman_filter,matched_topology_control,test_ccnlab_correlation,5,-0.006285949848260408,0.0054567993591534665,0.002440354861328888,-0.011069045376465029,-0.001502854320055787
connectome_kalman_filter,degree_preserving_kalman_filter,matched_topology_control,test_ccnlab_correlation,5,-0.004921300532688444,0.015575807374531457,0.006965712818778972,-0.01857409765749523,0.008731496592118342
connectome_kalman_filter,weight_shuffle_kalman_filter,matched_topology_control,test_ccnlab_correlation,5,-0.0013496292489752148,0.005382892855184496,0.002407302867958093,-0.0060679428701730775,0.0033686843722226475
connectome_rescorla_wagner,random_sparse_rescorla_wagner,matched_topology_control,test_ccnlab_correlation,5,-0.006151312770000627,0.006698075102741327,0.002995470249625699,-0.012022434459266998,-0.0002801910807342569
connectome_rescorla_wagner,degree_preserving_rescorla_wagner,matched_topology_control,test_ccnlab_correlation,5,-0.0018384587142292075,0.009465184390716367,0.004232959143442345,-0.010135058635376205,0.00645814120691779
connectome_rescorla_wagner,weight_shuffle_rescorla_wagner,matched_topology_control,test_ccnlab_correlation,5,-0.0012696549467164475,0.005980832532478822,0.0026747096209329725,-0.006512085803745074,0.0039727759103121785
connectome_temporal_difference,random_sparse_temporal_difference,matched_topology_control,test_ccnlab_correlation,5,-0.005964541428916559,0.00538489514516963,0.002408198319261578,-0.010684610134669252,-0.0012444727231638664
connectome_temporal_difference,degree_preserving_temporal_difference,matched_topology_control,test_ccnlab_correlation,5,0.0036845417127783,0.011726661975138613,0.005244322665114378,-0.006594330710845881,0.01396341413640248
connectome_temporal_difference,weight_shuffle_temporal_difference,matched_topology_control,test_ccnlab_correlation,5,-0.0010259534393854074,0.011961745398038117,0.005349455167911701,-0.011510885568492342,0.009458978689721526
connectome_kalman_filter,random_sparse_kalman_filter,matched_topology_control,test_ccnlab_ratio,5,0.00019293261172586011,0.0006471444053834734,0.0002894117763392255,-0.00037431446989902187,0.0007601796933507421
connectome_kalman_filter,degree_preserving_kalman_filter,matched_topology_control,test_ccnlab_ratio,5,9.743450651730004e-05,0.0010058734225556686,0.00044984026991896903,-0.0007842524225238792,0.0009791214355584794
connectome_kalman_filter,weight_shuffle_kalman_filter,matched_topology_control,test_ccnlab_ratio,5,0.00011974665189096013,0.0005469331874917014,0.0002445959572764164,-0.000359661424370816,0.0005991547281527363
connectome_rescorla_wagner,random_sparse_rescorla_wagner,matched_topology_control,test_ccnlab_ratio,5,0.00040419083656598003,0.0009577920343393477,0.00042833761941811884,-0.00043535089749353287,0.001243732570625493
connectome_rescorla_wagner,degree_preserving_rescorla_wagner,matched_topology_control,test_ccnlab_ratio,5,0.00022602256028560002,0.0013009203739747302,0.0005817892779043889,-0.0009142844244070022,0.0013663295449782022
connectome_rescorla_wagner,weight_shuffle_rescorla_wagner,matched_topology_control,test_ccnlab_ratio,5,0.0001410799819400602,0.0006608906506885394,0.00029555928412672847,-0.00043821621494832764,0.000720376178828448
connectome_temporal_difference,random_sparse_temporal_difference,matched_topology_control,test_ccnlab_ratio,5,0.00031193661578035603,0.0011379410445715333,0.0005089027060098132,-0.0006855126879988778,0.0013093859195595899
connectome_temporal_difference,degree_preserving_temporal_difference,matched_topology_control,test_ccnlab_ratio,5,0.0008031514978412396,0.0035695591437778723,0.0015963553790386536,-0.0023257050450745213,0.003932008040757001
connectome_temporal_difference,weight_shuffle_temporal_difference,matched_topology_control,test_ccnlab_ratio,5,0.0003789687668963954,0.000995818417952032,0.0004453435351574081,-0.0004939045620121244,0.0012518420958049152
