model,kind,method,acc_final,acc_final_se,forgetting,forgetting_se,learning_acc,trainable_params,replay_floats
mlp_joint,nonbio,joint,0.7511333333333333,0.0023132468763863013,0.0,0.0,0.7511333333333333,4198402,0
mlp_er,nonbio,er,0.7195,0.0054884727687521005,0.09516666666666666,0.006677205212096184,0.7956333333333333,4198402,7682500
mlp_ewc,nonbio,ewc,0.6136333333333334,0.017695793599358897,0.252375,0.024360893353898176,0.8155333333333333,4198402,0
mlp_naive,nonbio,naive,0.5916666666666667,0.023037963837496032,0.28345833333333337,0.028265973851572455,0.8184333333333335,4198402,0
tbio_connectome_full,tbio,trainable_bio,0.7124666666666667,0.005110881637360715,0.084,0.004789311015167025,0.7796666666666668,86554,21780
tbio_random_full,tbio,trainable_bio,0.7153333333333333,0.0030904871963997886,0.08695833333333332,0.0043243095145673585,0.7849,86554,21780
tbio_shuffle_full,tbio,trainable_bio,0.7123333333333334,0.0013775985546514837,0.08991666666666664,0.004336337099954805,0.7842666666666666,86554,21780
tbio_connectome_replay,tbio,trainable_bio,0.6980666666666666,0.003989291220811583,0.12395833333333334,0.006181850675791013,0.7972333333333333,86554,21780
tbio_connectome_ewc,tbio,trainable_bio,0.6747,0.013633781573723415,0.16766666666666666,0.018197460521854277,0.8088333333333333,86554,21780
tbio_connectome_plain,tbio,trainable_bio,0.6331666666666665,0.014184772743254517,0.23795833333333336,0.018559074225594097,0.8235333333333333,86554,21780
