task,model,test_acc_mean,test_acc_std,trainable_params,N
cifar10,connectome_frozen,0.47536666666666666,0.0018876793513023645,1327922,63545
cifar10,connectome_trainable,0.4798,0.003195309061734091,1391467,63545
cifar10,dense_trainable,0.5477,0.004613025037868281,10042226,8714304
cifar10,mlp,0.4989333333333333,0.0037072002014098666,1328783,0
cifar10,random_sparse_frozen,0.4875,0.0025534290669607302,1327922,63545
cifar10,weight_shuffle_frozen,0.47526666666666667,0.003137408697210715,1327922,63545
mnist,connectome_frozen,0.9689666666666668,0.00192180470738667,344082,63545
mnist,connectome_trainable,0.9721333333333334,0.0012583057392118093,407627,63545
mnist,dense_trainable,0.9682333333333334,0.0031214312956291713,9058386,8714304
mnist,mlp,0.9707666666666667,0.0016289055630494076,344245,0
mnist,random_sparse_frozen,0.9717333333333333,0.0012583057392117597,344082,63545
mnist,weight_shuffle_frozen,0.9689,0.0005567764362830156,344082,63545
