model,metric,N,mean_delta_pruned_minus_unpruned,std,sem,ci95_low,ci95_high
degree_preserving_random,test_query_accuracy,2,-0.06815185546875019,0.012607999329261927,0.00891520182291655,-0.08562565104166663,-0.05067805989583375
degree_preserving_random,test_initial_probe_accuracy,2,-0.06146647135416683,0.012003782109010144,0.00848795572916683,-0.07810286458333382,-0.04483007812499984
degree_preserving_random,test_reversal_probe_accuracy,2,-0.07483723958333338,0.013212216549514419,0.009342447916666774,-0.09314843750000026,-0.056526041666666506
degree_preserving_random,test_loss,2,0.14249199391342698,0.019902365310929843,0.014073097473010401,0.1149087228663266,0.17007526496052738
degree_preserving_random,best_val_loss,2,0.14720239797607065,0.02482024163883447,0.01755056117350856,0.11280329807599387,0.18160149787614743
hemibrain_seeded,test_query_accuracy,2,-0.019836425781249833,0.0020773563477239887,0.001468912760416552,-0.022715494791666277,-0.01695735677083339
hemibrain_seeded,test_initial_probe_accuracy,2,-0.013639322916666696,0.0023938510821419788,0.0016927083333333481,-0.01695703125000006,-0.010321614583333335
hemibrain_seeded,test_reversal_probe_accuracy,2,-0.026033528645833637,0.0017608616133063125,0.0012451171874999776,-0.028473958333333594,-0.02359309895833368
hemibrain_seeded,test_loss,2,0.050141620225622296,0.005267987095779625,0.0037250293986289987,0.04284056260430946,0.05744267784693513
hemibrain_seeded,best_val_loss,2,0.0506728332528534,0.005434377389839126,0.003842685103882096,0.04314117044924449,0.05820449605646231
random_sparse,test_query_accuracy,2,-0.0755777994791666,0.000713551764869138,0.0005045572916665964,-0.07656673177083312,-0.07458886718750007
random_sparse,test_initial_probe_accuracy,2,-0.06819661458333343,0.001864441708206984,0.0013183593750001887,-0.0707805989583338,-0.06561263020833305
random_sparse,test_reversal_probe_accuracy,2,-0.08295898437500004,0.0032915452379450242,0.0023274739583332145,-0.08752083333333315,-0.07839713541666694
random_sparse,test_loss,2,0.1604138327995315,0.0006674245526188732,0.0004719404270872029,0.1594888295624406,0.1613388360366224
random_sparse,best_val_loss,2,0.16130674942396578,0.0007130746493732026,0.0005042199200640113,0.1603184783806403,0.16229502046729125
weight_shuffle,test_query_accuracy,2,-0.018306477864583226,0.0022269720403578818,0.0015747070312498999,-0.02139290364583303,-0.015220052083333421
weight_shuffle,test_initial_probe_accuracy,2,-0.014046223958333492,0.0009437297535367386,0.000667317708333337,-0.015354166666666834,-0.012738281250000151
weight_shuffle,test_reversal_probe_accuracy,2,-0.022566731770833348,0.003510214327179261,0.0024820963541666297,-0.02743164062499994,-0.017701822916666755
weight_shuffle,test_loss,2,0.04763052702619455,0.003206824618180585,0.0022675674335914525,0.04318609485635531,0.0520749591960338
weight_shuffle,best_val_loss,2,0.04781060714740305,0.0010261981737215342,0.0007256316874797475,0.04638836903994275,0.04923284525486336
