family,fraction,test_overall_rmse_mean,test_yaw_r2_mean,N,trainable_params
dense_connectome,5,0.19094853103160858,-0.0408295194307963,5000,25325003
dense_connectome,10,0.16972648104031882,0.22964094082514444,5000,25325003
dense_connectome,15,0.16202746828397116,0.3228557308514913,5000,25325003
dense_connectome,20,0.154577965537707,0.4109730124473572,5000,25325003
dense_connectome,30,0.14492233594258627,0.5022253394126892,5000,25325003
dense_connectome,50,0.13561932742595673,0.5966218113899231,5000,25325003
dense_connectome,75,0.1292738070090612,0.6435310244560242,5000,25325003
dense_connectome,100,0.12511299550533295,0.6702350775400797,5000,25325003
dense_random,5,0.1860805551211039,0.04738012949625651,5000,25325003
dense_random,10,0.17054782311121622,0.21119890610376993,5000,25325003
dense_random,15,0.1621522456407547,0.3211863835652669,5000,25325003
dense_random,20,0.154889444510142,0.404841681321462,5000,25325003
dense_random,30,0.14452680945396423,0.5111514528592428,5000,25325003
dense_random,50,0.13592482606569925,0.5905421177546183,5000,25325003
dense_random,75,0.1295926570892334,0.6434071660041809,5000,25325003
dense_random,100,0.12537873287995657,0.6659424702326456,5000,25325003
pruned_connectome,5,0.20360825955867767,-0.08943728605906169,1912,272516
pruned_connectome,10,0.1807069033384323,0.041332900524139404,1912,272516
pruned_connectome,15,0.17548268040021262,0.07995766401290894,1912,272516
pruned_connectome,20,0.1689829925696055,0.1439823309580485,1912,272516
pruned_connectome,30,0.15935718516508737,0.24439301093419394,1912,272516
pruned_connectome,50,0.14875890811284384,0.419608215490977,1912,272516
pruned_connectome,75,0.13924617071946463,0.505555788675944,1912,272516
pruned_connectome,100,0.13171658416589102,0.5852653384208679,1912,272516
pruned_random,5,0.20443250238895416,-0.08596642812093098,1912,272516
pruned_random,10,0.19131007293860117,-0.02918761968612671,1912,272516
pruned_random,15,0.1782341649134954,0.04291403293609619,1912,272516
pruned_random,20,0.17243372897307077,0.11708327134450276,1912,272516
pruned_random,30,0.16464131077130637,0.1821500062942505,1912,272516
pruned_random,50,0.15540710588296255,0.29411059617996216,1912,272516
pruned_random,75,0.14739224314689636,0.404230535030365,1912,272516
pruned_random,100,0.1391607572635015,0.520098070303599,1912,272516
sparse_connectome,5,0.21957566837469736,-0.6118111610412598,5000,757876
sparse_connectome,10,0.1851284603277842,-0.00813750425974528,5000,757876
sparse_connectome,15,0.1761340151230494,0.07818607489267985,5000,757876
sparse_connectome,20,0.16974899669488272,0.13358853260676065,5000,757876
sparse_connectome,30,0.1591320882240931,0.28069639205932617,5000,757876
sparse_connectome,50,0.14705173671245575,0.4284134308497111,5000,757876
sparse_connectome,75,0.13650119304656982,0.5671573678652445,5000,757876
sparse_connectome,100,0.13168561458587646,0.608650286992391,5000,757876
sparse_random,5,0.20566665132840475,-0.07081290086110432,5000,757876
sparse_random,10,0.1901137282450994,-0.03675234317779541,5000,757876
sparse_random,15,0.1797552009423574,0.03400987386703491,5000,757876
sparse_random,20,0.17320403456687927,0.1017643411954244,5000,757876
sparse_random,30,0.16592621306578317,0.17675960063934326,5000,757876
sparse_random,50,0.16285163660844168,0.2345207134882609,5000,757876
sparse_random,75,0.15079701940218607,0.391168475151062,5000,757876
sparse_random,100,0.14246498545010886,0.4774387280146281,5000,757876
